DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-12-06 12:36:15.715,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
171305,0.2805,0.5037,-36.0579,-0.0131,-0.0180,0.2339,0
171472,0.2801,0.5044,-36.0585,0.0150,-0.0117,0.2378,0
171638,0.2799,0.5057,-36.0591,-0.0026,-0.0139,0.2116,0
171805,0.2798,0.5065,-36.0587,0.0045,-0.0075,0.2307,0
171972,0.2792,0.5053,-36.0591,0.0010,0.0024,0.2473,0
172138,0.2791,0.5048,-36.0603,0.0008,0.0103,0.2369,0
172305,0.2790,0.5065,-36.0609,-0.0043,-0.0024,0.2464,0
172472,0.2788,0.5070,-36.0599,0.0040,-0.0015,0.2404,0
172638,0.2795,0.5064,-36.0607,-0.0008,0.0050,0.2185,0
172805,0.2806,0.5062,-36.0611,-0.0068,-0.0160,0.2116,0
172972,0.2807,0.5046,-36.0609,-0.0140,-0.0128,0.2506,0
173138,0.2804,0.5040,-36.0609,-0.0031,0.0024,0.2330,0
173305,0.2799,0.5041,-36.0607,-0.0057,0.0091,0.2120,0
173472,0.2789,0.5042,-36.0603,-0.0121,-0.0005,0.2260,0
173638,0.2788,0.5029,-36.0612,0.0013,0.0050,0.2498,0
173805,0.2783,0.5032,-36.0610,-0.0071,0.0063,0.2316,0
173972,0.2779,0.5038,-36.0618,-0.0074,-0.0034,0.2195,0
174138,0.2775,0.5025,-36.0616,-0.0087,-0.0122,0.2357,0
174305,0.2770,0.5022,-36.0619,-0.0106,-0.0066,0.2220,0
174472,0.2762,0.5034,-36.0609,0.0001,-0.0151,0.2499,0
174638,0.2752,0.5029,-36.0607,0.0038,-0.0026,0.2196,0
174805,0.2752,0.5024,-36.0604,-0.0094,0.0054,0.2233,0
174972,0.2750,0.5023,-36.0600,-0.0039,-0.0116,0.2464,0
175138,0.2748,0.5026,-36.0594,0.0043,0.0052,0.2543,0
175305,0.2746,0.5030,-36.0585,-0.0048,-0.0041,0.2571,0
175472,0.2733,0.5033,-36.0594,-0.0053,-0.0001,0.2285,0
175638,0.2747,0.5042,-36.0605,-0.0129,0.0064,0.2383,0
175805,0.2741,0.5046,-36.0604,-0.0068,-0.0112,0.2448,0
175972,0.2734,0.5047,-36.0605,-0.0006,-0.0004,0.2188,0
176138,0.2728,0.5052,-36.0599,-0.0036,0.0018,0.2303,0
176305,0.2718,0.5044,-36.0604,0.0063,-0.0072,0.2458,0
176472,0.2715,0.5048,-36.0618,-0.0117,0.0048,0.2246,0
176638,0.2703,0.5046,-36.0621,-0.0019,-0.0072,0.2385,0
176805,0.2683,0.5041,-36.0626,0.0095,0.0049,0.2172,0
176972,0.2673,0.5049,-36.0634,0.0183,-0.0027,0.2338,0
177138,0.2682,0.5061,-36.0644,-0.0142,-0.0078,0.2099,0
177305,0.2684,0.5054,-36.0644,0.0014,-0.0014,0.2316,0
177472,0.2686,0.5057,-36.0653,-0.0040,0.0026,0.2354,0
177638,0.2678,0.5056,-36.0657,-0.0184,0.0041,0.2378,0
177805,0.2667,0.5063,-36.0660,-0.0034,-0.0064,0.2325,0
177972,0.2658,0.5066,-36.0664,-0.0087,0.0047,0.2285,0
178138,0.2657,0.5078,-36.0671,-0.0005,-0.0059,0.2483,0
178305,0.2652,0.5086,-36.0677,0.0034,-0.0021,0.2109,0
178472,0.2658,0.5076,-36.0679,-0.0023,-0.0049,0.2442,0
178638,0.2653,0.5073,-36.0672,0.0001,0.0036,0.2585,0
178805,0.2656,0.5068,0.0000,0.0055,0.0001,0.2368,0
178972,0.2649,0.5060,0.0004,-0.0142,0.0015,0.2494,0
179138,0.2644,0.5048,0.0011,-0.0013,0.0132,0.2259,0
179305,0.2639,0.5065,0.0020,-0.0125,0.0241,0.2371,0
179472,0.2652,0.5055,0.0025,-0.0065,-0.0098,0.2365,0
179638,0.2647,0.5061,0.0019,0.0023,-0.0181,0.2392,0
179805,0.2642,0.5066,0.0006,0.0027,0.0020,0.2422,0
179972,0.2654,0.5064,0.0012,0.0114,-0.0185,0.2427,0
180138,0.2649,0.5067,0.0002,0.0097,-0.0146,0.2534,0
180305,0.2650,0.5066,0.0003,-0.0123,0.0006,0.2405,0
180472,0.2637,0.5065,-0.0011,0.0021,0.0152,0.2509,0
180638,0.2638,0.5061,-0.0015,-0.0163,0.0049,0.2362,0
180805,0.2638,0.5055,-0.0021,-0.0111,0.0072,0.2598,0
180972,0.2633,0.5071,-0.0029,0.0087,-0.0039,0.2534,0
181139,0.2632,0.5080,-0.0037,-0.0075,0.0170,0.2214,0
181305,0.2620,0.5065,-0.0039,0.0182,0.0108,0.2503,0
181472,0.2610,0.5064,-0.0045,0.0043,0.0064,0.2429,0
181639,0.2613,0.5067,-0.0037,-0.0151,-0.0079,0.2470,0
181805,0.2615,0.5067,-0.0052,0.0070,0.0024,0.2366,0
181972,0.2616,0.5053,-0.0064,-0.0077,-0.0023,0.2412,0
182139,0.2602,0.5069,-0.0066,0.0085,0.0082,0.2307,0
182305,0.2599,0.5069,-0.0064,-0.0051,-0.0160,0.2380,0
182472,0.2594,0.5067,-0.0060,-0.0094,0.0099,0.2304,0
182639,0.2597,0.5078,-0.0067,0.0046,-0.0008,0.2389,0
182805,0.2591,0.5062,-0.0061,0.0166,-0.0080,0.2246,0
182972,0.2596,0.5047,-0.0061,0.0077,-0.0019,0.2394,0
183139,0.2602,0.5037,-0.0075,-0.0012,-0.0082,0.2319,0
183305,0.2596,0.5033,-0.0072,0.0033,-0.0006,0.2301,0
183472,0.2601,0.5035,-0.0066,0.0116,-0.0090,0.2455,0
183639,0.2599,0.5034,-0.0066,-0.0014,0.0013,0.2309,0
183805,0.2601,0.5045,-0.0072,0.0167,0.0008,0.2463,0
183972,0.2585,0.5034,-0.0079,-0.0046,-0.0180,0.2297,0
184139,0.2581,0.5036,-0.0077,-0.0016,0.0080,0.2546,0
184305,0.2580,0.5048,-0.0080,-0.0032,-0.0023,0.2115,0
184472,0.2590,0.5048,-0.0076,0.0067,0.0023,0.2451,0
